metabolites,species,fluxes
LalaDgluMdap,A1R12,-0.104789475939889
LalaDgluMdap,C2R02,0.104789475939889
ac,A1R12,86.4220490103023
ac,C2R02,-86.4220490103023
acald,A1R12,-763.226189298907
acald,C2R02,763.226189298907
ala__D,A1R12,15.8584129760125
ala__D,C2R02,-15.8584129760125
ala__L,A1R12,-1000
ala__L,C2R02,1000
asp__L,A1R12,-17.0493957270752
asp__L,C2R02,17.0493957270752
cit,A1R12,-10
co2,A1R12,19.2667300970541
co2,C2R02,-4.37162473620788
etoh,A1R12,680.167346751173
etoh,C2R02,-680.167346751173
glu__L,A1R12,5.33408535307467
glu__L,C2R02,-5.33408535307467
gly,A1R12,-2.33450308867339
gly,C2R02,2.33450308867335
gthox,A1R12,500
gthox,C2R02,-500
gthrd,A1R12,-1000
gthrd,C2R02,1000
h2o2,A1R12,-500
h2o2,C2R02,500
h2s,A1R12,-0.257850223971445
h2s,C2R02,0.257850223971445
ile__L,A1R12,0.00281353803143247
ile__L,C2R02,-0.00281353803143247
leu__L,A1R12,-0.472109073846696
leu__L,C2R02,0.472109073846696
lys__L,A1R12,-0.35959661353013
lys__L,C2R02,0.35959661353013
pyr,A1R12,984.790149123065
pyr,C2R02,-984.790149123065
succ,A1R12,10
succ,C2R02,-10
thr__L,A1R12,-0.57309463241246
thr__L,C2R02,0.573094632412449
val__L,A1R12,0.480575660938598
val__L,C2R02,-0.480575660938598
