metabolites,species,fluxes
ac,B3M02,0.491088489488732
ac,m_1A01,-0.491088489488732
acald,B3M02,0.873440884266387
acald,m_1A01,-0.873440884266387
ade,B3M02,0.273556440744472
ade,m_1A01,-0.273556440744472
ala__D,B3M02,-0.968718527825137
ala__D,m_1A01,0.968718527825137
ala__L,B3M02,-1.16455079389301
ala__L,m_1A01,1.16455079389301
arg__L,B3M02,-0.14551262585556
arg__L,m_1A01,0.14551262585556
asp__L,B3M02,-1.2967480624656
asp__L,m_1A01,1.2967480624656
cgly,B3M02,0.434357836786664
cgly,m_1A01,-0.434357836786664
co2,B3M02,-4.14163204872117
co2,m_1A01,4.14576222148745
etoh,B3M02,3.07772312012015
etoh,m_1A01,-3.07772312012015
f6p,m_1A01,-10
for,B3M02,-0.916485837196925
for,m_1A01,0.916485837196925
glu__L,B3M02,-0.330613321847068
glu__L,m_1A01,0.330613321847068
gly,B3M02,4.40598533836661
gly,m_1A01,-4.40598533836661
glyald,B3M02,-3.2359512657635
glyald,m_1A01,3.2359512657635
glyc,B3M02,1.72867460492118
glyc,m_1A01,-1.72867460492118
gthrd,B3M02,-0.434357836786664
gthrd,m_1A01,0.434357836786664
h2s,B3M02,0.22509962233380101
h2s,m_1A01,-0.22509962233380101
ile__L,B3M02,0.265775173984423
ile__L,m_1A01,-0.265775173984423
leu__L,B3M02,-0.221635300614389
leu__L,m_1A01,0.221635300614389
orn,B3M02,0.14551262585556
orn,m_1A01,-0.14551262585556
phe__L,B3M02,-0.0911397084070238
phe__L,m_1A01,0.0911397084070238
pro__L,B3M02,0.202220539378605
pro__L,m_1A01,-0.202220539378605
pyr,B3M02,-3.97562975342837
pyr,m_1A01,3.97562975342837
ser__L,B3M02,-0.584561086096149
ser__L,m_1A01,0.584561086096149
thr__L,B3M02,0.232072208153356
thr__L,m_1A01,-0.232072208153356
trp__L,B3M02,-0.0279634817422635
trp__L,m_1A01,0.0279634817422635
tyr__L,B3M02,-0.0678368889455373
tyr__L,m_1A01,0.0678368889455373
ura,B3M02,-0.162732085620064
ura,m_1A01,0.162732085620064
val__L,B3M02,-0.208454687937484
val__L,m_1A01,0.208454687937484
