metabolites,species,fluxes
ac,A1R12,0.949057867225747
ac,m_1A01,-10.9490578672257
acald,A1R12,1.94653547752564
acald,m_1A01,-1.94653547752564
ala__D,A1R12,1.1051285049266
ala__D,m_1A01,-1.1051285049266
ala__L,A1R12,1.63723373745643
ala__L,m_1A01,-1.63723373745643
arg__L,A1R12,-0.00286450592294621
arg__L,m_1A01,0.00286450592294621
asp__L,A1R12,-0.049098308645006
asp__L,m_1A01,0.049098308645006
co2,A1R12,0.673604664549668
co2,m_1A01,1.04927036848105
etoh,A1R12,-3.00761255432308
etoh,m_1A01,3.00761255432308
glu__L,A1R12,-0.00917455948352616
glu__L,m_1A01,0.00917455948352616
gly,A1R12,-0.0215744674931286
gly,m_1A01,0.0215744674931286
h2s,A1R12,0.103067915010797
h2s,m_1A01,-0.103067915010797
ile__L,A1R12,0.121692310078251
ile__L,m_1A01,-0.121692310078251
leu__L,A1R12,0.105439123370983
leu__L,m_1A01,-0.105439123370983
lys__L,A1R12,-0.00332323631817003
lys__L,m_1A01,0.00332323631817003
pyr,A1R12,-3.63515916215849
pyr,m_1A01,3.63515916215849
ser__L,A1R12,-0.00353270534746475
ser__L,m_1A01,0.00353270534746475
thr__L,A1R12,-0.126070145001194
thr__L,m_1A01,0.126070145001194
ura,A1R12,-0.00320348162486137
ura,m_1A01,0.00320348162486137
val__L,A1R12,0.260761201690552
val__L,m_1A01,-0.260761201690552
