metabolites,species,fluxes
ac,A1R12,10.0723878321005
ac,m_1A01,-10.0723878321005
acald,A1R12,8.31328223468997
acald,m_1A01,-8.31328223468997
ala__D,A1R12,1.29690224256538
ala__D,m_1A01,-1.29690224256538
ala__L,A1R12,1.89535253963112
ala__L,m_1A01,-1.89535253963112
arg__L,A1R12,-0.00286450592294621
arg__L,m_1A01,0.00286450592294621
asp__L,A1R12,-1.20825761188821
asp__L,m_1A01,1.20825761188821
cit,A1R12,-9.98423251426981
cit,m_1A01,-0.015767485730187
co2,A1R12,5.02575512466477
co2,m_1A01,11.4986255454797
etoh,A1R12,-10.0221996220279
etoh,m_1A01,10.0221996220279
glu__L,A1R12,1.14400452345616
glu__L,m_1A01,-1.14400452345616
gly,A1R12,-1.0948588503702401
gly,m_1A01,1.0948588503702401
h2s,A1R12,0.24845199642732
h2s,m_1A01,-0.24845199642732
ile__L,A1R12,0.293347327209613
ile__L,m_1A01,-0.293347327209613
leu__L,A1R12,0.454901454502215
leu__L,m_1A01,-0.454901454502215
pyr,A1R12,-5.29312930297271
pyr,m_1A01,5.29312930297271
ser__L,A1R12,-0.00353270534746519
ser__L,m_1A01,0.00353270534746519
succ,A1R12,9.98408128595929
succ,m_1A01,-9.98408128595929
thr__L,A1R12,-0.297725162132556
thr__L,m_1A01,0.297725162132556
val__L,A1R12,0.42784854433515
val__L,m_1A01,-0.42784854433515
